,token,ocurrences
5823,gostaríamos,"[[30, 1]]"
5824,goya,"[[30, 1]]"
5825,grudar,"[[30, 1]]"
5826,hamburgueria,"[[30, 1]]"
5827,horário,"[[30, 1], [35, 1], [44, 1], [48, 1], [50, 1], [53, 1], [62, 1], [72, 1], [85, 1], [125, 1], [210, 1], [229, 1]]"
5828,impede,"[[30, 1], [32, 1], [47, 2], [152, 1], [181, 1]]"
5829,inferior,"[[30, 1], [55, 1], [110, 1], [123, 1], [127, 1], [142, 1], [185, 1], [203, 1], [240, 1], [244, 1]]"
5830,injusto,"[[30, 1], [110, 2], [160, 1]]"
5831,insatisfeito,"[[30, 1]]"
5832,instalador,"[[30, 1]]"
5833,instaladores,"[[30, 1]]"
5834,instalando,"[[30, 1]]"
5835,irritadas,"[[30, 1]]"
5836,irritado,"[[30, 1], [125, 1], [216, 1]]"
5837,jogando,"[[30, 1], [38, 1], [58, 1], [63, 1], [127, 1]]"
5838,ligar,"[[30, 1]]"
5839,loja,"[[30, 1], [118, 3], [135, 1], [153, 1], [178, 1], [249, 1]]"
5840,maldito,"[[30, 1], [238, 1]]"
5841,maravilhosos,"[[30, 1], [158, 1], [186, 1]]"
5842,miséria,"[[30, 1], [150, 1], [160, 1]]"
5843,mostrando,"[[30, 1]]"
5844,moto,"[[30, 1], [189, 1], [228, 1]]"
5845,negativa,"[[30, 1], [84, 1], [128, 1], [138, 1], [226, 1], [234, 1]]"
5846,negativas,"[[30, 1], [153, 1], [165, 1]]"
5847,nomes,"[[30, 1], [49, 1], [55, 1], [73, 1], [115, 1], [118, 1], [121, 1], [130, 1], [183, 1], [200, 1], [207, 1], [221, 1], [223, 1], [224, 1], [238, 2], [240, 1]]"
5848,obsessão,"[[30, 1], [96, 1], [107, 1], [198, 1], [244, 5]]"
5849,olhe,"[[30, 1], [63, 2]]"
5850,online,"[[30, 2], [178, 1], [185, 2], [211, 6]]"
5851,opção,"[[30, 2], [37, 1], [55, 2], [58, 1], [90, 3], [96, 1], [103, 1], [173, 1]]"
5852,ousará,"[[30, 1]]"
5853,participam,"[[30, 1], [110, 1], [124, 1], [167, 1]]"
5854,perdem,"[[30, 1], [144, 1]]"
5855,perdemos,"[[30, 1], [127, 1]]"
5856,perfumes,"[[30, 1]]"
5857,permite,"[[30, 1], [31, 1], [34, 1], [40, 1], [60, 1], [75, 1], [89, 1], [129, 1], [147, 1], [189, 1], [248, 1]]"
5858,piorou,"[[30, 1], [46, 1], [47, 1], [218, 1]]"
5859,plataforma,"[[30, 1], [31, 1], [69, 2], [84, 1], [124, 1], [125, 1], [130, 1], [141, 2], [163, 1], [176, 1], [185, 2], [197, 2], [200, 1]]"
5860,plataformas,"[[30, 2], [31, 1], [60, 1], [124, 3], [125, 12], [153, 1], [163, 2], [185, 3], [211, 9], [228, 1]]"
5861,pontuação,"[[30, 4]]"
5862,portas,"[[30, 1], [41, 1], [82, 1], [110, 1], [112, 1], [165, 1], [180, 1], [198, 1], [216, 1]]"
5863,praça,"[[30, 1], [86, 1], [105, 1], [153, 1]]"
5864,precário,"[[30, 1], [217, 2]]"
5865,precários,"[[30, 1], [76, 1]]"
5866,prejudicial,"[[30, 1], [143, 1]]"
5867,prestam,"[[30, 2], [125, 1]]"
5868,profissional,"[[30, 1], [47, 4], [55, 1], [65, 1], [102, 1], [108, 2], [130, 1], [133, 2], [148, 1], [197, 1], [203, 1], [212, 1], [232, 2], [240, 1]]"
5869,quente,"[[30, 1], [213, 1]]"
5870,raramente,"[[30, 1], [118, 1], [150, 1], [189, 1], [201, 1], [207, 1], [235, 1], [240, 1]]"
5871,recusar,"[[30, 1], [55, 1], [65, 1], [157, 1]]"
5872,reduzem,"[[30, 1]]"
5873,renda,"[[30, 1], [32, 1], [36, 15], [69, 1], [87, 2], [108, 1], [115, 1], [124, 1], [131, 1], [132, 1], [135, 1], [148, 1], [152, 1], [155, 1], [175, 1], [195, 1], [203, 3], [217, 1], [237, 3], [240, 1], [243, 1]]"
5874,restaurante,"[[30, 1], [137, 1], [184, 1], [196, 1]]"
5875,restaurantes,"[[30, 1], [197, 1], [243, 1]]"
5876,retiram,"[[30, 1]]"
5877,salarial,"[[30, 1], [37, 2], [132, 1], [148, 1], [232, 1]]"
5878,salário,"[[30, 2], [37, 4], [39, 1], [65, 2], [76, 3], [86, 1], [124, 1], [135, 1], [140, 2], [158, 1], [177, 2], [184, 1], [207, 3], [232, 1], [240, 3], [243, 1]]"
5879,sanção,"[[30, 2]]"
5880,sebastián,"[[30, 1], [114, 3], [166, 2], [187, 1], [190, 1], [208, 1]]"
5881,servidão,"[[30, 1]]"
5882,sete,"[[30, 1], [37, 1], [41, 1], [49, 1], [55, 3], [77, 1], [78, 1], [79, 1], [93, 1], [94, 1], [100, 1], [104, 1], [105, 1], [110, 1], [113, 1], [115, 1], [116, 1], [118, 1], [121, 1], [127, 1], [134, 1], [137, 1], [143, 1], [158, 1], [174, 17], [177, 1], [184, 1], [204, 2], [207, 1], [217, 1], [226, 1], [240, 1], [241, 1], [243, 1], [244, 1], [246, 2]]"
5883,sol,"[[30, 2], [34, 1], [94, 3], [182, 1], [244, 1]]"
5884,sorriso,"[[30, 1], [45, 1], [151, 2]]"
5885,supostas,"[[30, 1], [52, 1], [66, 1], [181, 1], [185, 1], [227, 1]]"
5886,suposto,"[[30, 1], [166, 1], [181, 1], [214, 1], [238, 1], [243, 1]]"
5887,surge,"[[30, 1], [172, 1]]"
5888,telefonia,"[[30, 1], [243, 1]]"
5889,todolí,"[[30, 2], [125, 2]]"
5890,tomando,"[[30, 1], [65, 1], [133, 1], [161, 1], [166, 1]]"
5891,trabalhador,"[[30, 2], [37, 1], [94, 1], [123, 2], [125, 2], [184, 1], [223, 1], [232, 1], [248, 1]]"
5892,trabalhadores,"[[30, 2], [36, 1], [37, 1], [94, 1], [108, 4], [123, 4], [124, 1], [125, 8], [140, 1], [151, 2], [187, 1], [204, 1], [223, 2], [232, 1], [243, 1]]"
5893,trabalhos,"[[30, 1], [60, 3], [70, 1], [109, 1], [115, 1], [123, 1], [133, 1], [158, 1], [166, 1], [184, 1], [189, 1], [203, 2], [208, 1], [210, 1], [233, 1]]"
5894,transfira,"[[30, 1]]"
5895,trazer,"[[30, 1], [66, 1], [87, 1], [183, 1], [221, 1]]"
5896,técnico,"[[30, 1], [49, 1], [52, 1], [55, 3], [58, 1], [71, 1], [112, 1], [115, 1], [121, 2], [130, 1], [136, 1], [212, 1], [231, 1], [240, 1], [242, 4], [247, 1]]"
5897,usa,"[[30, 1], [34, 1], [60, 2], [93, 1], [108, 1], [151, 1], [153, 2], [163, 1], [211, 1], [239, 1], [243, 1]]"
5898,vendedores,"[[30, 1], [63, 1]]"
5899,venezuelanos,"[[30, 1], [60, 2], [65, 2], [97, 2], [98, 1], [99, 1]]"
5900,verdadeira,"[[30, 1], [87, 1], [140, 1], [143, 1], [210, 1], [211, 3], [223, 1]]"
5901,verificar,"[[30, 1], [102, 1], [160, 1], [163, 2]]"
5902,verá,"[[30, 1], [69, 1]]"
5903,village,"[[30, 1]]"
5904,virtual,"[[30, 1], [130, 1], [205, 1], [211, 1], [239, 2]]"
5905,vício,"[[30, 1], [195, 1], [207, 1], [211, 2]]"
5906,zero,"[[30, 1], [56, 1], [59, 1], [63, 1], [69, 2], [70, 1], [110, 1], [151, 6], [203, 2]]"
5907,ótica,"[[30, 2], [210, 1]]"
5908,adrenalina,"[[31, 1]]"
5909,agarrar,"[[31, 1]]"
5910,amanhecemos,"[[31, 1]]"
5911,animal,"[[31, 1], [184, 9]]"
5912,antissemita,"[[31, 1], [181, 1]]"
5913,apareceram,"[[31, 1], [65, 1], [224, 1]]"
5914,apontar,"[[31, 1], [151, 1], [166, 2]]"
5915,aproveita,"[[31, 1], [94, 1]]"
5916,arrematar,"[[31, 1]]"
5917,assassina,"[[31, 1]]"
5918,assassinando,"[[31, 1]]"
5919,assassinos,"[[31, 1], [223, 1]]"
5920,atirador,"[[31, 3]]"
5921,atrocidade,"[[31, 1]]"
5922,audiovisual,"[[31, 1], [112, 1]]"
5923,balanços,"[[31, 1]]"
5924,bate,"[[31, 2], [183, 1], [206, 1], [213, 1], [215, 1], [240, 1]]"
5925,bater,"[[31, 2], [56, 1], [119, 1]]"
5926,bond,"[[31, 1], [189, 1]]"
5927,buscam,"[[31, 1], [206, 1]]"
5928,busco,"[[31, 1]]"
5929,call,"[[31, 1]]"
5930,caminhar,"[[31, 1], [78, 1], [108, 1], [248, 1]]"
5931,carapaça,"[[31, 1]]"
5932,casual,"[[31, 1], [130, 1]]"
5933,catarse,"[[31, 1]]"
5934,cid,"[[31, 2]]"
5935,claras,"[[31, 1], [49, 1]]"
5936,codificada,"[[31, 1]]"
5937,combates,"[[31, 1], [84, 1], [249, 3]]"
5938,combine,"[[31, 1]]"
5939,comentada,"[[31, 1], [36, 1]]"
5940,comentado,"[[31, 1]]"
5941,cometida,"[[31, 1]]"
5942,conclamou,"[[31, 1]]"
5943,condiz,"[[31, 1]]"
5944,conexão,"[[31, 1], [139, 1], [152, 1], [175, 1], [224, 1], [248, 1]]"
5945,confete,"[[31, 1]]"
5946,confirmaram,"[[31, 1]]"
5947,consequências,"[[31, 1], [34, 3], [40, 1], [45, 1], [70, 1], [78, 1], [84, 1], [88, 1], [104, 1], [107, 1], [125, 1], [150, 1], [153, 1], [155, 2], [157, 1], [170, 1], [174, 1], [211, 1]]"
5948,covarde,"[[31, 1], [198, 1]]"
5949,custou,"[[31, 1], [41, 1], [69, 1], [104, 1], [193, 1], [243, 1]]"
5950,câmera,"[[31, 1], [131, 1], [172, 1], [187, 1], [190, 1]]"
5951,códigos,"[[31, 3], [153, 1], [249, 1]]"
5952,defender,"[[31, 1], [57, 1], [77, 2], [99, 5], [112, 1], [140, 1], [158, 1], [166, 1], [173, 2], [205, 3], [215, 1], [216, 2], [230, 1], [236, 1], [240, 1], [241, 2], [242, 1]]"
5953,definidas,"[[31, 1]]"
5954,definiu,"[[31, 1], [54, 2], [67, 1], [113, 1], [116, 1], [151, 1], [166, 1]]"
5955,delimitada,"[[31, 1]]"
5956,delimitando,"[[31, 1]]"
5957,delineá,"[[31, 1]]"
5958,destes,"[[31, 1], [110, 1], [189, 1], [239, 1]]"
5959,difusas,"[[31, 1]]"
5960,digo,"[[31, 1], [63, 4], [129, 2]]"
5961,dilui,"[[31, 2]]"
5962,diluindo,"[[31, 1]]"
5963,diminua,"[[31, 1]]"
5964,disparam,"[[31, 1]]"
5965,disseminar,"[[31, 1]]"
5966,distorcida,"[[31, 1], [198, 1]]"
5967,diversão,"[[31, 2], [45, 1], [166, 1], [190, 1]]"
5968,divisória,"[[31, 1], [107, 1]]"
5969,doente,"[[31, 2], [100, 1], [112, 1], [184, 2], [197, 1]]"
5970,dose,"[[31, 1], [210, 1]]"
5971,duty,"[[31, 1]]"
5972,empáticas,"[[31, 1]]"
5973,enfrentado,"[[31, 2], [121, 1]]"
5974,ensaiam,"[[31, 1]]"
5975,ensaísta,"[[31, 1], [129, 1], [193, 2]]"
5976,errado,"[[31, 2], [37, 1], [157, 1], [180, 1], [189, 1], [203, 1], [248, 1]]"
5977,escapada,"[[31, 1]]"
5978,escolhida,"[[31, 1], [103, 1], [109, 1], [156, 2], [197, 1], [199, 1], [244, 1]]"
5979,escória,"[[31, 1]]"
5980,esperar,"[[31, 1], [95, 1], [101, 1], [140, 1], [144, 1], [166, 2], [176, 1], [208, 1], [222, 2], [232, 1], [241, 1]]"
5981,espetáculo,"[[31, 2], [89, 2], [94, 1], [121, 1], [164, 1], [184, 1], [197, 1]]"
5982,espirituais,"[[31, 1]]"
5983,espírito,"[[31, 1], [60, 2], [61, 1], [82, 1], [108, 1], [141, 2], [149, 1], [169, 1], [173, 1], [182, 2], [183, 1], [193, 1], [199, 1], [201, 1], [225, 1], [239, 1]]"
5984,estética,"[[31, 4], [151, 1], [154, 3], [182, 1], [183, 1], [190, 1], [198, 2], [201, 2]]"
5985,estéticos,"[[31, 1], [201, 1]]"
5986,esvaziando,"[[31, 1]]"
5987,eva,"[[31, 1], [186, 1], [198, 3]]"
5988,evocações,"[[31, 1]]"
5989,executa,"[[31, 1]]"
5990,explicarei,"[[31, 1]]"
5991,expulso,"[[31, 1], [93, 1]]"
5992,ferido,"[[31, 1]]"
5993,filosófica,"[[31, 1]]"
5994,flertou,"[[31, 1]]"
5995,fortalecer,"[[31, 1], [144, 1], [195, 1], [235, 2]]"
5996,frenético,"[[31, 1]]"
5997,fronteira,"[[31, 2], [65, 5], [82, 1], [92, 1], [94, 2], [97, 3], [99, 1], [107, 2], [132, 1], [245, 2], [246, 3], [249, 3]]"
5998,fãs,"[[31, 1], [176, 1], [178, 2], [180, 1], [192, 1], [197, 2]]"
5999,game,"[[31, 6]]"
6000,games,"[[31, 4]]"
6001,gopro,"[[31, 1]]"
6002,grita,"[[31, 1], [151, 1]]"
6003,horrorizados,"[[31, 1]]"
6004,hotline,"[[31, 1]]"
6005,humor,"[[31, 2], [60, 1], [156, 1], [166, 1], [198, 2], [232, 1]]"
6006,iguais,"[[31, 1], [43, 1], [166, 1], [195, 1], [222, 1], [236, 1]]"
6007,iguala,"[[31, 1]]"
6008,igualam,"[[31, 1]]"
6009,imaginária,"[[31, 1]]"
6010,imito,"[[31, 1]]"
6011,independente,"[[31, 1], [52, 1], [97, 1], [154, 1], [190, 1]]"
6012,indignado,"[[31, 1]]"
6013,infantil,"[[31, 2], [52, 1], [147, 1], [180, 1], [184, 1], [186, 1], [198, 2], [203, 4], [242, 1]]"
6014,influenciada,"[[31, 1]]"
6015,inimiga,"[[31, 1], [143, 1]]"
6016,inscrever,"[[31, 1]]"
6017,instiga,"[[31, 1]]"
6018,instigar,"[[31, 1]]"
6019,jogador,"[[31, 4], [41, 6], [45, 3], [47, 5], [55, 12], [57, 1], [58, 2], [72, 1], [92, 1], [118, 2], [119, 2], [120, 1], [122, 1], [242, 2], [243, 3]]"
6020,jogadores,"[[31, 1], [52, 1], [53, 1], [56, 1], [58, 1], [76, 1], [92, 2], [115, 2], [118, 1], [119, 1], [120, 1], [121, 2], [122, 1], [212, 1], [242, 2]]"
6021,jogar,"[[31, 1], [43, 1], [45, 2], [47, 1], [55, 2], [58, 5], [118, 1], [119, 1], [154, 1], [202, 1]]"
6022,lazer,"[[31, 1], [87, 1], [135, 1], [147, 1], [238, 1], [249, 1]]"
6023,lembrem,"[[31, 1], [169, 1]]"
6024,literalmente,"[[31, 1], [197, 1]]"
6025,magnífico,"[[31, 2]]"
6026,maquiar,"[[31, 1]]"
6027,margens,"[[31, 1]]"
6028,massacres,"[[31, 1], [214, 2]]"
6029,mata,"[[31, 1], [48, 2], [54, 2], [61, 3], [74, 2]]"
6030,mecânicas,"[[31, 1], [143, 1]]"
6031,mente,"[[31, 3], [92, 1]]"
6032,metáfora,"[[31, 2], [156, 4], [164, 1]]"
6033,miami,"[[31, 1], [63, 1], [196, 1]]"
6034,máscara,"[[31, 1], [41, 1], [131, 1]]"
6035,máxima,"[[31, 1], [45, 1], [135, 1]]"
6036,música,"[[31, 1], [47, 1], [110, 1], [120, 1], [124, 1], [141, 1], [158, 1], [177, 1], [178, 1], [180, 2], [183, 4], [195, 3], [197, 2], [198, 1], [199, 3]]"
6037,nauseabundo,"[[31, 1]]"
6038,nitidez,"[[31, 1]]"
6039,numerosas,"[[31, 1], [70, 1], [245, 1], [249, 1]]"
6040,ocasiões,"[[31, 1], [63, 1], [88, 2], [90, 1], [101, 1], [143, 1], [196, 1], [202, 1], [216, 1]]"
6041,oferecem,"[[31, 1], [125, 1], [135, 1], [141, 1], [161, 1]]"
6042,opte,"[[31, 1]]"
6043,passiva,"[[31, 1], [130, 1], [207, 1]]"
6044,patreon,"[[31, 1]]"
6045,perpetra,"[[31, 1]]"
6046,perpetua,"[[31, 1], [110, 1]]"
6047,perverter,"[[31, 1]]"
6048,pervertê,"[[31, 1]]"
6049,pessoalmente,"[[31, 1], [60, 1], [173, 1], [199, 1], [223, 1], [238, 1], [247, 1]]"
6050,pewdiepie,"[[31, 1]]"
6051,playground,"[[31, 2]]"
6052,poderão,"[[31, 1], [98, 1], [108, 2], [124, 1], [166, 1], [185, 3], [214, 1], [217, 1]]"
6053,possibilita,"[[31, 1]]"
6054,pragas,"[[31, 1]]"
6055,predispõe,"[[31, 1]]"
6056,pretendem,"[[31, 2], [42, 1], [61, 1], [160, 1], [166, 1], [185, 1], [201, 1]]"
6057,propor,"[[31, 1], [84, 1], [107, 1], [248, 1], [249, 1]]"
6058,práxis,"[[31, 3], [152, 1]]"
6059,pulsação,"[[31, 1]]"
6060,recarregar,"[[31, 1]]"
6061,refletir,"[[31, 1], [60, 1], [92, 1], [103, 1], [130, 1], [141, 1], [153, 1], [155, 1], [211, 1]]"
6062,reivindicar,"[[31, 1]]"
6063,relâmpagos,"[[31, 1]]"
6064,representar,"[[31, 1], [33, 1], [47, 1], [86, 1], [158, 1], [172, 1], [209, 1], [217, 1]]"
6065,repugnante,"[[31, 1], [92, 1]]"
6066,sagrados,"[[31, 1]]"
6067,salto,"[[31, 1], [55, 1], [86, 1], [99, 1], [198, 1]]"
6068,seguido,"[[31, 1], [145, 1], [189, 1]]"
6069,seguro,"[[31, 1], [36, 2], [46, 1], [119, 1], [137, 1], [143, 1], [161, 1], [179, 1], [186, 1], [206, 1]]"
6070,silêncio,"[[31, 2], [33, 3], [46, 1], [57, 1], [104, 2], [109, 1], [204, 1], [222, 1], [228, 1], [229, 1], [230, 1], [238, 1], [240, 1], [249, 1]]"
6071,simbólica,"[[31, 1], [120, 1], [138, 1], [165, 1], [174, 1], [216, 1]]"
6072,simulada,"[[31, 1]]"
6073,simulação,"[[31, 1]]"
6074,soem,"[[31, 1]]"
6075,steam,"[[31, 1]]"
6076,tartaruga,"[[31, 1]]"
6077,temor,"[[31, 1], [37, 1], [146, 1], [204, 1], [214, 2], [225, 1]]"
6078,tempestade,"[[31, 1], [109, 1], [158, 1], [218, 1], [244, 1]]"
6079,terrorista,"[[31, 1], [73, 5], [88, 1], [245, 1], [249, 1]]"
6080,terroristas,"[[31, 2], [63, 1], [73, 1], [77, 1], [95, 1], [98, 1], [247, 1]]"
6081,testar,"[[31, 1]]"
6082,totalmente,"[[31, 1], [78, 1], [84, 1], [86, 1], [112, 1], [124, 1], [125, 2], [152, 1], [155, 1], [158, 1], [180, 1], [189, 1], [192, 1], [196, 1], [198, 1], [230, 1], [244, 1], [248, 1]]"
6083,tracemos,"[[31, 1]]"
6084,transformado,"[[31, 1], [152, 1], [157, 1]]"
6085,transmitido,"[[31, 1]]"
6086,traçar,"[[31, 1], [75, 1], [203, 1]]"
6087,trinta,"[[31, 1], [89, 1]]"
6088,trovões,"[[31, 1]]"
6089,twitch,"[[31, 1]]"
6090,videogame,"[[31, 5]]"
6091,vincular,"[[31, 1], [32, 1]]"
6092,violasse,"[[31, 1]]"
6093,violação,"[[31, 2], [104, 1], [105, 1]]"
6094,violentos,"[[31, 1], [115, 1], [167, 1], [175, 1], [184, 1], [214, 1], [247, 1]]"
6095,visualização,"[[31, 1]]"
6096,volte,"[[31, 1], [151, 1], [220, 1]]"
6097,youtube,"[[31, 1], [86, 1], [163, 3], [178, 1], [185, 2], [197, 1]]"
6098,youtuber,"[[31, 2]]"
6099,zumbi,"[[31, 1], [129, 1]]"
6100,zumbido,"[[31, 1]]"
6101,éticas,"[[31, 1]]"
6102,abririam,"[[32, 1]]"
6103,aceitáveis,"[[32, 1]]"
6104,acelerar,"[[32, 1], [125, 1], [146, 1], [155, 1]]"
6105,aceleração,"[[32, 1], [108, 2]]"
6106,adoção,"[[32, 1], [36, 1], [64, 1], [98, 1], [104, 1], [169, 1]]"
6107,agropecuário,"[[32, 1]]"
6108,aguarda,"[[32, 1], [204, 1]]"
6109,agustín,"[[32, 1]]"
6110,alejandro,"[[32, 1], [95, 1], [204, 1]]"
6111,alinhada,"[[32, 1], [115, 1]]"
6112,alto,"[[32, 1], [34, 1], [37, 1], [45, 1], [46, 1], [51, 2], [52, 1], [55, 1], [61, 3], [65, 2], [69, 1], [70, 1], [76, 1], [92, 1], [104, 2], [108, 1], [109, 5], [115, 3], [117, 1], [118, 1], [123, 1], [130, 1], [133, 1], [137, 6], [138, 1], [140, 1], [144, 1], [160, 1], [162, 1], [166, 1], [215, 1], [218, 1], [221, 1], [222, 1], [225, 1], [244, 1], [246, 1]]"
6113,américas,"[[32, 1]]"
6114,aplicação,"[[32, 1], [117, 1], [152, 1], [185, 2], [202, 1]]"
6115,apontaram,"[[32, 1], [87, 1]]"
6116,aposta,"[[32, 1], [96, 1], [107, 1], [108, 1], [121, 1], [205, 1]]"
6117,apropriadas,"[[32, 1], [144, 1], [157, 1]]"
6118,assumem,"[[32, 1], [59, 1]]"
6119,atrasados,"[[32, 1], [125, 1], [211, 1]]"
6120,atraso,"[[32, 1], [115, 1], [125, 1], [143, 1], [151, 1], [194, 1], [203, 1], [221, 1]]"
6121,aumentou,"[[32, 1], [39, 1], [71, 1], [84, 1], [140, 1], [158, 1], [175, 1], [184, 1], [198, 1]]"
6122,automação,"[[32, 1], [143, 1]]"
6123,baixas,"[[32, 1], [137, 1], [190, 1], [205, 1], [217, 1]]"
6124,beneficiados,"[[32, 1]]"
6125,bolões,"[[32, 1], [107, 1]]"
6126,básico,"[[32, 1], [70, 1], [147, 1], [173, 1], [203, 1], [217, 1], [239, 1], [248, 1]]"
6127,cargas,"[[32, 1]]"
6128,carregadas,"[[32, 1], [193, 1]]"
6129,carstens,"[[32, 1]]"
6130,chefie,"[[32, 1]]"
6131,complexo,"[[32, 1], [57, 1], [73, 1], [110, 1], [140, 1], [173, 1], [217, 1], [230, 1], [239, 1], [244, 1]]"
6132,comprar,"[[32, 1], [87, 1], [124, 2], [129, 1], [184, 1]]"
6133,comunique,"[[32, 1]]"
6134,concedeu,"[[32, 1], [34, 1], [63, 2], [229, 1]]"
6135,consideramos,"[[32, 1]]"
6136,contrabalança,"[[32, 1]]"
6137,contraditório,"[[32, 1], [78, 1], [173, 1]]"
6138,contraiu,"[[32, 1]]"
6139,convém,"[[32, 1]]"
6140,corrigir,"[[32, 2], [58, 1], [158, 1]]"
6141,crescem,"[[32, 1], [34, 2]]"
6142,crescerá,"[[32, 1], [37, 1], [132, 1]]"
6143,crucial,"[[32, 1], [41, 1], [63, 1], [64, 1], [108, 1], [110, 1], [150, 1], [177, 1], [188, 1], [204, 1]]"
6144,debacles,"[[32, 1]]"
6145,desafio,"[[32, 1], [88, 1], [108, 4], [109, 1], [115, 1], [127, 1], [143, 1], [144, 2], [150, 1], [152, 1], [239, 1], [244, 1], [247, 1]]"
6146,desastre,"[[32, 1], [34, 2], [84, 1], [90, 1], [128, 2], [129, 1], [130, 1], [155, 2], [198, 1], [248, 1]]"
6147,descontrole,"[[32, 1], [151, 2]]"
6148,deseja,"[[32, 1], [112, 1], [123, 1], [151, 1], [160, 1]]"
6149,desenho,"[[32, 1], [60, 3], [129, 1], [155, 1], [186, 2]]"
6150,desestimulam,"[[32, 1]]"
6151,desfaçam,"[[32, 1]]"
6152,desigualdade,"[[32, 3], [33, 3], [34, 1], [37, 1], [87, 1], [129, 1], [133, 2], [140, 1], [144, 1], [152, 3], [165, 1], [173, 1], [213, 1]]"
6153,dissiparão,"[[32, 1]]"
6154,distribuição,"[[32, 1], [70, 1], [78, 1], [117, 1], [207, 1], [221, 2]]"
6155,divisas,"[[32, 1]]"
6156,economistas,"[[32, 1], [37, 1], [127, 1], [129, 1], [155, 1]]"
6157,econômicas,"[[32, 2], [90, 1], [95, 1], [113, 2], [129, 1], [132, 1], [135, 1], [138, 1], [150, 1], [152, 1], [155, 3], [173, 1], [178, 1], [210, 2], [248, 2]]"
6158,educacionais,"[[32, 1], [233, 1]]"
6159,educacional,"[[32, 1], [84, 1], [87, 1], [95, 1], [110, 3], [130, 1], [173, 1], [211, 1], [221, 2]]"
6160,educada,"[[32, 1], [159, 1]]"
6161,educativa,"[[32, 1], [221, 1]]"
6162,elevado,"[[32, 1], [55, 1], [137, 1], [140, 1], [144, 1], [162, 1], [210, 1], [232, 1]]"
6163,elites,"[[32, 1], [33, 1], [34, 1], [69, 1], [86, 1], [89, 1], [163, 1], [167, 1], [248, 1]]"
6164,endurecer,"[[32, 1], [138, 1]]"
6165,energética,"[[32, 1], [247, 1]]"
6166,entrarão,"[[32, 1], [37, 1]]"
6167,equilíbrio,"[[32, 1], [81, 1], [98, 1], [107, 1], [108, 1], [133, 1]]"
6168,equilíbrios,"[[32, 1]]"
6169,escalão,"[[32, 1], [52, 1], [92, 1], [104, 2], [115, 1], [205, 1], [208, 1], [221, 1]]"
6170,espera,"[[32, 1], [37, 2], [46, 2], [57, 1], [63, 1], [65, 1], [96, 2], [103, 1], [107, 1], [124, 1], [138, 2], [151, 1], [198, 1], [213, 1], [222, 1], [223, 1], [224, 1], [231, 2]]"
6171,esperando,"[[32, 1], [41, 1], [45, 1], [138, 2], [157, 1], [166, 1], [203, 1], [215, 1], [222, 1], [249, 1]]"
6172,esperávamos,"[[32, 1]]"
6173,esquema,"[[32, 1], [151, 3], [206, 1]]"
6174,estimular,"[[32, 1], [119, 1]]"
6175,estruturais,"[[32, 1], [84, 1], [168, 1]]"
6176,evoluiu,"[[32, 1]]"
6177,excesso,"[[32, 1]]"
6178,exclusivo,"[[32, 1], [178, 1], [189, 1]]"
6179,explique,"[[32, 1], [159, 1]]"
6180,factível,"[[32, 1]]"
6181,fatores,"[[32, 2], [84, 1], [96, 1], [108, 1], [132, 1], [138, 2], [144, 1], [171, 1], [214, 1], [217, 1]]"
6182,favoritos,"[[32, 1], [222, 1]]"
6183,favorável,"[[32, 2], [89, 1], [110, 1], [112, 1], [120, 1], [162, 1], [242, 1]]"
6184,fenômenos,"[[32, 1], [89, 1], [129, 1], [163, 1], [167, 2]]"
6185,fizer,"[[32, 1], [57, 1], [82, 1]]"
6186,flua,"[[32, 1]]"
6187,foque,"[[32, 1]]"
6188,freiam,"[[32, 1]]"
6189,freio,"[[32, 1]]"
6190,gera,"[[32, 1], [37, 1], [70, 1], [75, 1], [114, 1], [145, 1], [163, 1], [167, 1], [202, 1], [248, 1]]"
6191,girando,"[[32, 1]]"
6192,gradualista,"[[32, 1]]"
6193,humanitária,"[[32, 2], [33, 2], [70, 2], [97, 7], [99, 1], [128, 1], [179, 1]]"
6194,implicitamente,"[[32, 1]]"
6195,infelizmente,"[[32, 1], [46, 1], [63, 2], [166, 1], [239, 1], [241, 1]]"
6196,inflação,"[[32, 1], [37, 5], [96, 2], [123, 1], [129, 1], [207, 1]]"
6197,infraestrutura,"[[32, 1], [40, 1], [69, 1], [81, 1], [138, 1], [144, 2], [147, 1], [179, 2], [217, 1], [220, 2]]"
6198,inibem,"[[32, 1]]"
6199,insegurança,"[[32, 1], [123, 1], [229, 1]]"
6200,intensifiquem,"[[32, 2]]"
6201,justo,"[[32, 1], [171, 1], [195, 1]]"
6202,macroeconômico,"[[32, 1], [96, 1]]"
6203,macroeconômicos,"[[32, 1], [166, 1]]"
6204,mandaram,"[[32, 1], [166, 1], [224, 1]]"
6205,manufaturas,"[[32, 1]]"
6206,modalidades,"[[32, 1], [43, 1]]"
6207,mudanças,"[[32, 1], [34, 1], [37, 1], [59, 1], [78, 1], [104, 1], [117, 1], [130, 1], [147, 1], [157, 2], [166, 1], [167, 1], [204, 1], [205, 1], [213, 1], [221, 1], [233, 1], [236, 1], [240, 1], [248, 4]]"
6208,nato,"[[32, 1]]"
6209,necessitava,"[[32, 1], [50, 1]]"
6210,necessária,"[[32, 1], [37, 1], [46, 1], [60, 1], [65, 1], [112, 1], [143, 1], [150, 1], [152, 1], [197, 1]]"
6211,nervosismo,"[[32, 1], [144, 1]]"
